PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
1	1	0	0	0	0	0	0	0	0
1	2	1	0	1	0	0	1	1	0
1	3	0	0	0	0	0	0	0	0
1	4	0	0	0	0	0	0	0	0
1	5	0	0	0	0	0	0	0	0
1	6	0	0	0	0	0	0	0	0
1	7	0	1	0	1	1	0	0	1
1	8	0	0	0	0	0	0	0	0
1	9	0	0	0	0	0	0	0	0
1	10	1	0	1	0	0	1	1	0
1	11	0	0	0	0	0	0	0	0
1	12	0	1	0	1	1	0	0	1
1	13	1	0	1	0	0	1	1	0
1	14	0	1	0	1	1	0	0	1
1	15	1	0	1	0	0	0	1	0
1	16	0	0	0	0	0	0	0	0
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
2	1	0	0	1	1	0	1	1	0
2	2	0	0	1	1	0	1	1	0
2	3	0	0	1	1	0	1	1	0
2	4	0	0	1	1	0	1	1	0
2	5	0	0	1	1	0	1	1	0
2	6	0	0	1	1	0	1	1	0
2	7	0	0	0	1	0	1	1	0
2	8	0	0	0	1	0	1	1	0
2	9	0	0	0	1	0	1	1	0
2	10	0	0	0	1	0	1	1	0
2	11	0	0	0	1	0	1	1	0
2	12	0	0	0	1	0	1	1	0
2	13	0	0	0	1	0	1	1	0
2	14	0	0	0	1	0	1	1	0
2	15	0	0	0	1	0	1	1	0
2	16	0	0	0	1	0	1	1	0
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
3	1	0	0	0	1	0	0	1	0
3	2	0	0	0	1	0	0	1	0
3	3	0	0	0	1	0	0	1	0
3	4	0	0	0	1	0	0	1	0
3	5	0	0	0	1	0	0	1	0
3	6	0	0	0	1	0	0	1	0
3	7	0	0	0	1	0	0	1	0
3	8	0	0	0	1	0	0	1	0
3	9	0	0	0	0	0	0	1	0
3	10	0	0	0	1	0	0	1	0
3	11	0	0	0	0	0	0	1	0
3	12	0	0	0	0	0	0	1	0
3	13	0	0	0	0	0	0	1	0
3	14	0	0	0	0	0	0	1	0
3	15	0	0	0	0	0	0	1	0
3	16	0	0	0	0	0	0	1	0
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
4	1	1	0	1	0	0	1	1	0
4	2	1	0	1	0	0	1	1	0
4	3	1	0	1	0	0	1	1	0
4	4	1	0	1	0	0	1	0	0
4	5	1	0	1	0	0	1	0	0
4	6	1	0	1	1	0	1	0	0
4	7	1	0	1	1	0	1	0	0
4	8	1	0	1	1	0	1	0	0
4	9	1	0	1	0	0	1	0	0
4	10	1	0	1	0	0	1	0	0
4	11	1	0	1	1	0	1	0	0
4	12	1	0	1	1	0	1	0	0
4	13	1	0	1	1	0	1	0	0
4	14	1	0	1	1	0	1	0	0
4	15	1	0	1	1	0	1	0	0
4	16	1	0	1	1	0	1	0	0
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
5	1	0	1	1	0	1	0	1	1
5	2	0	1	1	0	1	0	1	1
5	3	0	1	1	0	1	0	1	1
5	4	0	1	1	0	1	0	1	1
5	5	0	1	1	0	1	0	1	1
5	6	0	1	1	0	1	0	1	1
5	7	0	1	1	0	1	0	1	1
5	8	0	1	1	0	1	0	1	1
5	9	0	1	1	0	1	0	1	1
5	10	0	1	1	0	1	0	1	1
5	11	0	1	1	0	1	0	1	1
5	12	0	1	0	0	1	0	1	1
5	13	0	1	0	0	1	0	0	1
5	14	0	1	0	0	1	0	0	1
5	15	0	1	0	0	1	0	0	1
5	16	0	1	0	0	1	0	0	1
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
6	1	0	0	1	0	0	0	0	0
6	2	0	0	1	0	0	0	0	0
6	3	0	0	1	0	0	0	0	0
6	4	0	0	1	0	0	0	0	0
6	5	0	0	1	0	0	0	0	0
6	6	0	0	1	0	0	0	0	0
6	7	0	0	1	0	0	0	0	0
6	8	0	0	1	0	0	0	0	0
6	9	0	0	1	0	0	0	0	0
6	10	0	0	1	0	0	0	0	0
6	11	0	0	1	0	0	0	0	0
6	12	0	0	1	0	0	0	0	0
6	13	0	0	1	0	0	0	0	0
6	14	0	0	1	0	0	0	0	0
6	15	0	0	1	0	0	0	0	0
6	16	0	0	1	0	0	0	0	0
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
7	1	1	0	0	0	0	1	1	0
7	2	1	0	0	0	0	1	1	0
7	3	1	0	0	0	0	1	1	0
7	4	1	0	0	0	0	1	1	0
7	5	1	0	0	0	0	1	1	0
7	6	1	0	0	0	0	1	1	0
7	7	1	0	0	0	0	1	1	0
7	8	1	0	0	0	0	0	1	0
7	9	1	0	0	0	0	0	1	0
7	10	1	0	0	0	0	0	1	0
7	11	1	0	0	0	0	0	1	0
7	12	1	0	0	0	0	0	1	0
7	13	1	0	0	0	0	0	1	0
7	14	1	0	0	0	0	0	1	0
7	15	1	0	0	0	0	0	1	0
7	16	1	0	0	0	0	0	1	0
PUF	CHALLENGE	V1	V2	V3	V4	V5	V6	V7	V8
8	1	0	1	1	1	1	1	0	1
8	2	0	1	1	1	1	1	0	1
8	3	0	1	1	1	1	1	0	1
8	4	0	1	1	1	1	1	0	1
8	5	0	1	1	1	1	1	0	1
8	6	0	1	1	1	1	1	0	1
8	7	0	1	1	1	1	1	0	1
8	8	0	1	1	1	1	0	0	1
8	9	0	1	1	1	1	0	0	1
8	10	0	1	1	1	1	0	0	1
8	11	0	1	1	1	1	0	0	1
8	12	0	1	1	1	1	0	0	1
8	13	0	1	1	1	1	0	0	1
8	14	0	1	1	1	1	0	0	1
8	15	0	1	1	1	1	0	0	1
8	16	0	1	1	1	1	0	0	1

